date(RecTime)	round(min(C))	round(avg(C))	round(max(C))
2013-01-02	27	38	48
2013-01-03	26	36	48
2013-01-04	25	35	51
2013-01-05	25	36	49
2013-01-06	25	36	51
2013-01-07	25	36	47
2013-01-08	25	36	48
2013-01-09	26	35	47
2013-01-10	26	35	47
2013-01-11	26	35	47
2013-01-12	27	36	45
2013-01-13	25	37	46
2013-01-14	28	37	46
2013-01-15	27	36	44
2013-01-16	27	35	44
2013-01-17	27	35	43
2013-01-18	27	35	42
2013-01-19	27	36	42
2013-01-20	27	35	45
2013-01-21	27	35	41
2013-01-22	27	34	40
2013-01-23	26	34	41
2013-01-24	27	35	41
2013-01-25	27	35	42
2013-01-26	27	36	44
2013-01-27	26	34	40
2013-01-28	26	33	39
2013-01-29	25	33	39
2013-01-30	24	31	37
2013-01-31	25	32	40
2013-02-01	25	32	40
2013-02-02	25	33	43
2013-02-03	27	34	41
2013-02-04	25	34	42
2013-02-05	26	34	41
2013-02-06	26	34	41
2013-02-07	26	35	44
2013-02-08	27	34	43
2013-02-09	27	35	42
2013-02-10	28	36	42
2013-02-11	27	36	43
2013-02-12	27	36	42
2013-02-13	27	35	41
2013-02-14	27	35	42
2013-02-15	26	34	40
2013-02-16	26	33	39
2013-02-17	26	34	39
2013-02-18	27	34	39
2013-02-19	17	28	41
2013-02-20	14	20	39
2013-02-21	25	35	40
2013-02-22	26	36	41
2013-02-23	25	35	41
2013-02-24	26	35	41
2013-02-25	27	35	40
2013-02-26	26	34	42
2013-02-27	25	34	39
2013-02-28	25	34	39
2013-03-01	26	37	51
2013-03-02	33	43	51
2013-03-03	27	39	49
