date(RecTime)	round(min(C))	round(avg(C))	round(max(C))
2013-01-02	28	47	66
2013-01-03	26	43	65
2013-01-04	26	41	65
2013-01-05	25	42	66
2013-01-06	26	47	65
2013-01-07	40	55	65
2013-01-08	40	55	65
2013-01-09	42	56	65
2013-01-10	38	56	65
2013-01-11	41	56	66
2013-01-12	39	56	65
2013-01-13	35	55	65
2013-01-14	39	55	64
2013-01-15	38	56	65
2013-01-16	44	56	66
2013-01-17	42	56	65
2013-01-18	43	56	64
2013-01-19	41	56	65
2013-01-20	41	56	65
2013-01-21	40	56	65
2013-01-22	41	56	65
2013-01-23	41	56	64
2013-01-24	41	56	64
2013-01-25	43	56	66
2013-01-26	41	56	65
2013-01-27	37	55	64
2013-01-28	35	53	64
2013-01-29	35	53	65
2013-01-30	36	53	64
2013-01-31	36	53	64
2013-02-01	37	53	64
2013-02-02	37	54	65
2013-02-03	41	55	65
2013-02-04	35	55	65
2013-02-05	36	55	65
2013-02-06	35	55	65
2013-02-07	37	55	65
2013-02-08	40	55	65
2013-02-09	40	55	66
2013-02-10	42	56	65
2013-02-11	39	56	65
2013-02-12	41	56	65
2013-02-13	40	56	64
2013-02-14	40	56	64
2013-02-15	37	55	65
2013-02-16	37	55	63
2013-02-17	39	55	65
2013-02-18	39	55	64
2013-02-19	19	42	64
2013-02-20	16	27	60
2013-02-21	40	56	63
2013-02-22	45	57	63
2013-02-23	42	57	64
2013-02-24	39	56	65
2013-02-25	39	55	64
2013-02-26	37	56	64
2013-02-27	38	55	64
2013-02-28	39	56	65
2013-03-01	37	53	65
2013-03-02	37	52	65
2013-03-03	36	49	64
